App Id,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Price,Size
com.avi.astroapp,4.3,67,"50,000+",50000,75969,0,18M
com.edusecure.sandeep.spsshahkot,0,0,10+,10,35,0,4.3M
com.WolfPack.ColorPool,0,0,10+,10,12,0,12M
com.rainbowwallpaper.rainbowlive,4.5,53,"5,000+",5000,5516,0,21M
com.red.black.cool.business.theme,4.7,10,500+,500,996,0,4.1M
com.mpowercab.mpowercab,5,5,50+,50,58,0,2.0M
com.technoriseit.simownerdetails.simownername.simcard,0,0,"10,000+",10000,16749,0,6.5M
eiplysoft.wheelie,4.1,15,500+,500,673,0,5.6M
com.maelstrom.IntSightWordsFreeGGL,4,34,"10,000+",10000,12558,0,14M
com.smaappar.sve.kompis100,0,0,10+,10,13,0,1.3M
biz.mpowered.FC80001,0,0,10+,10,24,0,1.0M
com.dotpro.environmentalstudiesnotes,0,0,100+,100,162,0,6.0M
makatea.pro.calculator.widget,3.5,468,"10,000+",10000,12019,0.99,886k
nz.co.getalt,0,0,100+,100,132,0,27M
com.luatgiabuithanhtrung.nha_o,0,0,"1,000+",1000,2083,0,9.4M
com.SpartanCode.Wall,0,0,50+,50,52,0,18M
shreenavnath.software.com.msexcel,0,0,100+,100,155,0,3.8M
ru.elleriumsoft.e80,4.4,646,"50,000+",50000,54312,0,53M
com.adm.zut,3.5,24,"1,000+",1000,1493,0,24M
com.w264bh.player,5,10,"1,000+",1000,1276,0,2.1M
com.even3.games.Only60,3.3,54,"10,000+",10000,27962,0,20M
com.satria.nusantara,4.8,25,500+,500,639,0,14M
io.tsc.tracker,0,0,10+,10,13,0,27M
com.lwj.jumpjump,0,0,10+,10,39,0,26M
com.aps.sniper.fury,4.4,1232,"500,000+",500000,633557,0,91M
ie.flipdish.fd13550,0,0,50+,50,55,0,12M
harasubaru.katoonaire,4.8,54,"1,000+",1000,2093,0,83M
lt.cpartner.smktimetable,4,38,"5,000+",5000,5014,0,10M
oraciones.catolicas.devocionario.diarias,4.7,15,"1,000+",1000,3869,0,12M
com.monosterrony.meyepotanortips,4.3,64,"10,000+",10000,40365,0,2.8M
com.Ready.bibliavalera,4,7,100+,100,250,0,6.6M
com.androidtranslator.HindiToAlbaniantransletor,0,0,10+,10,18,0,5.4M
webchon.kjyh.kr.webchon_kjyh,0,0,50+,50,88,0,1.6M
com.ags.ls,0,0,100+,100,160,0,3.3M
au.sinopacific.petprotect,2.8,6,500+,500,534,0,4.0M
com.mobileappsprn.chesrown,0,0,100+,100,260,0,26M
tuple.me.vlcremote,4.1,1048,"100,000+",100000,279012,0,Varies with device
com.winias.app,4.5,26,500+,500,782,0,34M
com.tuneradios.riograndedosul,4.4,41,"5,000+",5000,5374,0,6.0M
com.efexxapps.android5a6f923359fe6,0,0,100+,100,335,0,20M
com.chandansmartgames.matchme,4.5,13,100+,100,147,0,30M
com.Football_Questions.user.trinnig,5,21,100+,100,400,0,22M
proverbes.citations.arabes.francais,4.3,9,"1,000+",1000,3189,0,3.6M
de.stativate.app,0,0,5+,5,5,0,27M
com.andromo.dev466877.app807512,0,0,500+,500,900,0,4.8M
rs.multisoft.zoviue,0,0,100+,100,431,0,2.5M
com.datasymbol.barcodescanner,0,0,100+,100,246,0,3.3M
com.merchant.cliQer,5,9,100+,100,169,0,25M
com.bookdose.dwr,0,0,50+,50,95,0,61M
ca.robbieelias.matchtrackerwarzone,2.6,38,"10,000+",10000,15770,0,32M
com.backyouliveclient.android,0,0,100+,100,460,0,13M
neus.n24rajasthan,4.8,21,"1,000+",1000,1475,0,8.4M
com.vi.kidsimulator.virtualdad,4.4,118,"10,000+",10000,19213,0,36M
com.tracplus.u1mobile,0,0,100+,100,160,0,36M
com.islam.vagizdar,4.6,17,"1,000+",1000,1078,0,61M
com.wangyiyun.musichotcomments,4.3,9,"1,000+",1000,1200,0,5.4M
com.cai.royal.photo.frames,4.4,434,"50,000+",50000,57720,0,16M
com.wgkl.player,4.2,5,500+,500,503,0,7.2M
com.rishanapps.koster_status,4.2,16,"10,000+",10000,14767,0,3.1M
com.PakApps.BeefRecipes,5,7,"1,000+",1000,3964,0,Varies with device
com.BestFreeGames.FireTruckRescueDrivingSim3D,3.6,87,"50,000+",50000,82304,0,36M
com.ideas.be_successfullite,4.6,129,"50,000+",50000,52039,0,29M
it.vulneraria.ticketmaniac,0,0,100+,100,406,0,2.1M
appinventor.ai_ron_volders.Shoppinglist,0,0,1+,1,1,0,5.2M
com.nobexinc.wls_2897285142.rc,4.9,72,500+,500,793,0,24M
turnoff.and.lock.screen,0,0,"1,000+",1000,1263,0,4.1M
com.listen2myapp.akusticfm,3.7,6,"1,000+",1000,1156,0,18M
com.doonung.activity,3.7,22803,"5,000,000+",5000000,5278071,0,20M
com.makeshop.powerapp.hjcc,0,0,100+,100,249,0,3.8M
com.tweedtechservices.tmapp,0,0,1+,1,2,0,48M
com.DMMCe.RoadAlignment,0,0,10+,10,31,0,15M
com.SmartSave.Saveme_ng,4.2,77,"1,000+",1000,2398,0,3.7M
io.appery.project516878,0,0,100+,100,168,0,11M
com.anvix.rog.color,4.1,54,"10,000+",10000,13280,0,24M
com.midwest.videopoker.g,3.9,101,"10,000+",10000,23657,0,2.8M
com.dipentutorial.GKinBangla,0,0,100+,100,419,0,2.5M
nl.mijnverlofdagen.activities.web,3.6,15,"1,000+",1000,1606,0,188k
com.anwmark.takefoodatdoor,4.9,55,100+,100,472,0,9.4M
com.dailystatcards.mobile,4.2,86,"10,000+",10000,10795,0,10M
us.vrglasses.abandonedcity,3.2,177,"10,000+",10000,17093,0,46M
com.dknetwork.blabbermouth,4.2,161,"10,000+",10000,12667,0,21M
pl.lowiecpolski.lowiec,3.9,46,"5,000+",5000,6220,0,24M
com.tgc.coroebus,3.8,14,"1,000+",1000,2697,0,37M
com.xtechsoftsolution.quotes,0,0,1+,1,3,0,3.9M
com.awbajarts.tebakgambar,3.8,187,"10,000+",10000,19986,0,20M
com.devmssc.jerzyurbansoundboard,4.2,8,500+,500,788,0,6.2M
br.com.segware.mysecurity.vigiez,0,0,100+,100,147,0,Varies with device
com.shoutcast.stm.montegerizim,5,9,100+,100,190,0,5.3M
com.newandromo.dev767947.app888367,0,0,100+,100,163,0,2.3M
com.somostudio.philosophyofscience,0,0,100+,100,159,0,4.5M
com.bhattipk098.Heer_Ranjha_story,0,0,"1,000+",1000,1350,0,4.1M
christian.com.dating,3.6,283,"10,000+",10000,28580,0,4.7M
com.videoaudio.downloader,4.8,19,50+,50,61,0,2.7M
anew.com.myapplication,0,0,100+,100,267,0,50M
apps.recipes.salad,0,0,100+,100,195,0,28M
com.redswan.rollingstonesthemes,4.1,23,"5,000+",5000,6003,0,13M
com.thegridnet.conference,,,50+,50,92,0,Varies with device
com.Y30000.RunChicken,5,6,10+,10,38,0,43M
ondas.deubate,5,44,500+,500,985,0,6.1M
com.aplications.adimov.balonkids,4.8,19,100+,100,153,0,9.1M
com.shoutcast.stm.dreamingfm,0,0,50+,50,74,0,1.5M
ge.bog.tskapp,2.8,1964,"100,000+",100000,104848,0,15M
com.dadnan.knskh,0,0,50+,50,95,0,8.3M
net.ays.PROD641460,0,0,1+,1,4,0,11M
com.offroad.taxi.simulator.driving,4,3993,"500,000+",500000,805669,0,26M
com.BXT.ComputerQuiz,0,0,10+,10,38,0,14M
com.abdelbasithq.kahf,4.8,84,"10,000+",10000,16729,0,25M
catolico.santo.rosario.maria,4.8,33,"10,000+",10000,16115,0,14M
com.andromo.dev710410.app753324,4.4,104,"10,000+",10000,18130,0,17M
com.pink.cute.couple.cartoon.theme,0,0,100+,100,234,0,3.5M
com.babysleeping.goodnight.lullaby.one,0,0,500+,500,502,0,43M
com.mobileappsprn.claycooley,0,0,100+,100,195,0,31M
ng.com.leadingtraders,0,0,5+,5,7,0,5.9M
cafeteria.multiple.bonn,3.5,25,"5,000+",5000,5151,0,9.0M
gr.hubit.physiopro,0,0,10+,10,22,0,5.4M
com.deskcenter.mobile.messaging,0,0,10+,10,28,0,17M
com.chownow.deliasitaliandeli,0,0,50+,50,67,0,17M
com.calculatorlock.vaultlockjjfrst,0,0,10+,10,10,0,10M
com.EuroMobiliareMobile,4,34,"5,000+",5000,6351,0,13M
com.itechnotion.grocerydriver,0,0,5+,5,5,0,4.7M
com.TheQuietIsle.FillYaGrid,0,0,100+,100,381,0,19M
com.chillmusic.lofiguitar.aesthetic,4,351,"10,000+",10000,12895,0,32M
com.srh.education,0,0,10+,10,13,0,45M
com.encompassbankapp,0,0,50+,50,59,0,9.1M
com.appsdelfuturo.comotenerinternetgratis,0,0,100+,100,175,0,19M
com.arovan.guideforlikevideocreation,3.6,10,500+,500,745,0,3.5M
com.herish.android.EnglishToBangla,3.5,107,"50,000+",50000,71166,0,14M
com.RadioFrancia.MusicaFrancesaGratis,0,0,"1,000+",1000,1039,0,6.6M
com.theweather.today.word,4.2,21,"1,000+",1000,1270,0,16M
com.ovechkinmaxim.vegetarianrecipes,3.5,620,"50,000+",50000,67402,0,6.5M
com.development.cosmic_m.footballfanatic,0,0,10+,10,36,0,5.6M
com.ring.brave,0,0,"1,000+",1000,4074,0,31M
com.goodbarber.marketingtools,4.5,11,"1,000+",1000,1692,0,16M
com.katamapps.policephotosuit,4.1,7,"1,000+",1000,1714,0,7.9M
com.qupworld.haidr,0,0,50+,50,66,0,35M
com.fitnessmobileapps.minnesotamash,0,0,100+,100,200,0,22M
com.platfomni.rulybka,4.4,10549,"500,000+",500000,529848,0,18M
co.thor.tkawy,3.2,20,100+,100,192,0,39M
apd.islamic.TohfaRamzan,0,0,"1,000+",1000,1097,0,2.7M
mediasolutions.magicland,0,0,100+,100,192,0,8.2M
com.shalbanvihara.frzshalbanvihara,0,0,1+,1,1,0,2.5M
com.ogien.threejewels2,4,61,"10,000+",10000,31727,0,52M
com.offroad.cargo.truck.simulator.euro,3.9,9443,"1,000,000+",1000000,3040422,0,Varies with device
com.netpulse.mobile.axistraining,0,0,100+,100,179,0,79M
online.techway.bsafebangaluru,0,0,100+,100,340,0,1.7M
com.shopdely.go,0,0,10+,10,21,0,9.3M
com.resultsdirect.eventsential.branded.cost,0,0,"1,000+",1000,1694,0,17M
com.neovia.royalhorse,3.6,14,"1,000+",1000,2066,0,7.9M
it.gustocapitale.android5d5d168e88a36,0,0,50+,50,52,0,6.7M
tw.com.mebook.generic4719180217042,0,0,1+,1,2,2.99,17M
